tobs,vrads,dvrads,stellar_mass,planet_mass,UM,UL,UT
463905.792,-0.720538833077993,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
492899.904,-0.6189551732532662,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
521894.016,-0.1897028390582734,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
550888.128,0.15598180124452551,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
579882.24,0.0415010601204632,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
608876.352,0.6919963612514151,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
637870.464,0.8204111078864498,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
666864.576,0.8909926666836104,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
695858.688,1.0931120869088622,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
724852.7999999999,0.8699901058242383,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
753846.912,1.0469718145064437,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
782841.024,0.9201007318364991,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
811835.1359999999,1.0602339935472866,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
840829.2479999999,1.1972873350674051,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
869823.3600000001,0.901155373286885,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
898817.4720000001,0.8793526979106875,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
927811.584,0.7116507207553756,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
956805.696,0.5420984107601517,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
985799.808,0.4116183656037065,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1014793.92,0.35252198398724666,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1043788.032,-0.08181744863799931,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1072782.1439999999,-0.04293424002855317,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1101776.256,-0.0007538497831344452,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1130770.368,-0.4295643505902479,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1159764.48,-0.8523096928162599,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1188758.592,-1.204297042087664,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1217752.704,-1.3509410146663614,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
1246746.8159999999,-0.9854939882060189,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
