tobs,vrads,dvrads,stellar_mass,planet_mass,UM,UL,UT
40677984.0,-92.55309402496785,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
41562288.0,-86.69346526256481,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
42446592.0,-61.789417589753086,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
43330896.0,-24.46916162402861,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
44215200.0,-1.8773638560520314,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
45099504.0,10.895608124651883,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
45983808.0,17.705500864201436,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
46868112.0,28.946739319773467,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
47752416.00000001,34.47564406100097,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
48636720.00000001,41.426589538280886,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
49521024.00000001,44.13648377345227,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
50405328.00000001,44.668857981264615,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
51289632.00000001,40.143952070395265,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
52173936.00000001,40.3424756318562,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
53058240.00000001,27.537713734156522,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
53942544.00000001,30.598561786580944,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
54826848.00000001,16.576778898398445,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
55711152.0,-2.83635029501854,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
56595456.0,-22.051511351044116,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
57479760.0,-58.63088412109991,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
58364064.0,-88.94204773738879,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
59248368.0,-88.67283375166282,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
60132672.0,-49.8969130717337,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
61016976.0,-33.369372631153155,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
61901280.0,-9.822587343702985,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
62785584.0,10.651866950157185,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
63669888.0,24.56790080208395,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
64554192.0,35.30963152830893,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
65438496.0,37.250137874810456,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
66322800.00000001,28.468303731164998,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
67207104.00000001,38.439397967407636,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
